,times(seconds),x,y,z
1932,38.70810650051795,1.25165,0.95236,0.0
1933,38.72814175232981,1.25066,0.96188,0.0
1934,38.748177004141674,1.24969,0.9717,0.0
1935,38.768212255953536,1.24882,0.98143,0.0
1936,38.7882475077654,1.24801,0.99116,0.0
1937,38.80828275957726,1.24711,1.00048,0.0
1938,38.82831801138912,1.24648,1.00978,0.0
1939,38.848353263200984,1.24576,1.01907,0.0
1940,38.868388515012846,1.24486,1.02824,0.0
1941,38.88842376682471,1.24434,1.0377,0.0
1942,38.90845901863657,1.24363,1.04697,0.0
1943,38.92849427044843,1.24302,1.05612,0.0
1944,38.948529522260294,1.24248,1.06495,0.0
1945,38.96856477407216,1.24175,1.0729,0.0
1946,38.988600025884026,1.24127,1.08041,0.0
1947,39.00863527769589,1.24075,1.08721,0.0
1948,39.02867052950775,1.24004,1.09314,0.0
1949,39.04870578131961,1.23936,1.0985,0.0
1950,39.068741033131474,1.23888,1.10386,0.0
1951,39.088776284943336,1.23832,1.10936,0.0
1952,39.1088115367552,1.23795,1.1148,0.0
1953,39.12884678856706,1.23746,1.12022,0.0
1954,39.14888204037892,1.23726,1.12637,0.0
1955,39.168917292190784,1.23705,1.13273,0.0
1956,39.188952544002646,1.23687,1.13866,0.0
1957,39.20898779581451,1.23683,1.14441,0.0
1958,39.22902304762637,1.23679,1.14962,0.0
1959,39.24905829943823,1.23656,1.15426,0.0
1960,39.269093551250094,1.23635,1.15802,0.0
1961,39.289128803061956,1.23611,1.16091,0.0
1962,39.30916405487382,1.23596,1.16334,0.0
1963,39.32919930668568,1.23575,1.16537,0.0
1964,39.34923455849754,1.23554,1.16719,0.0
1965,39.369269810309405,1.23542,1.16873,0.0
1966,39.38930506212127,1.23545,1.17009,0.0
1967,39.40934031393313,1.23578,1.17257,0.0
1968,39.42937556574499,1.23603,1.17344,0.0
1969,39.44941081755685,1.23643,1.17393,0.0
1970,39.469446069368715,1.2367,1.17398,0.0
1971,39.48948132118058,1.23696,1.17381,0.0
1972,39.50951657299244,1.23716,1.17369,0.0
1973,39.5295518248043,1.23734,1.17368,0.0
1974,39.54958707661617,1.23757,1.17376,0.0
1975,39.56962232842803,1.23781,1.17383,0.0
1976,39.589657580239894,1.23827,1.17392,0.0
1977,39.609692832051756,1.23842,1.17394,0.0
1978,39.62972808386362,1.23849,1.17396,0.0
1979,39.64976333567548,1.2385,1.17391,0.0
1980,39.66979858748734,1.2385,1.17391,0.0
1981,39.689833839299204,1.23835,1.17405,0.0
1982,39.70986909111107,1.23817,1.17409,0.0
1983,39.72990434292293,1.23798,1.17409,0.0
1984,39.74993959473479,1.23778,1.17412,0.0
1985,39.76997484654665,1.23765,1.17417,0.0
1986,39.790010098358515,1.23755,1.17423,0.0
1987,39.81004535017038,1.23743,1.17425,0.0
1988,39.83008060198224,1.23737,1.17423,0.0
1989,39.8501158537941,1.23733,1.17425,0.0
1990,39.87015110560596,1.23735,1.17429,0.0
1991,39.890186357417825,1.2374,1.17429,0.0
1992,39.91022160922969,1.23751,1.17432,0.0
1993,39.93025686104155,1.23761,1.17431,0.0
1994,39.95029211285341,1.23775,1.1743,0.0
1995,39.97032736466527,1.23788,1.17431,0.0
1996,39.990362616477135,1.23794,1.17427,0.0
1997,40.010397868289,1.23794,1.1742,0.0
1998,40.03043312010086,1.23795,1.17415,0.0
1999,40.05046837191272,1.23792,1.17414,0.0
2000,40.07050362372458,1.23789,1.17414,0.0
2001,40.090538875536446,1.23787,1.17417,0.0
2002,40.11057412734831,1.23786,1.1742,0.0
2003,40.13060937916017,1.23785,1.17423,0.0
2004,40.15064463097204,1.23787,1.17423,0.0
2005,40.1706798827839,1.23787,1.17426,0.0
2006,40.19071513459576,1.23788,1.17429,0.0
2007,40.210750386407625,1.23787,1.17432,0.0
2008,40.23078563821949,1.23784,1.1744,0.0
2009,40.25082089003135,1.23784,1.1744,0.0
2010,40.27085614184321,1.23778,1.17446,0.0
2011,40.29089139365507,1.23778,1.17446,0.0
2012,40.310926645466935,1.23768,1.17452,0.0
2013,40.3309618972788,1.23765,1.17455,0.0
2014,40.35099714909066,1.23757,1.17462,0.0
2015,40.37103240090252,1.23709,1.17468,0.0
2016,40.39106765271438,1.23567,1.17455,0.0
2017,40.411102904526246,1.23294,1.17427,0.0
2018,40.43113815633811,1.22879,1.17401,0.0
2019,40.45117340814997,1.22279,1.17362,0.0
2020,40.47120865996183,1.21513,1.17318,0.0
2021,40.491243911773694,1.20659,1.17226,0.0
2022,40.511279163585556,1.19761,1.17124,0.0
2023,40.53131441539742,1.18837,1.17036,0.0
2024,40.55134966720928,1.17912,1.16928,0.0
2025,40.57138491902114,1.17012,1.16753,0.0
2026,40.591420170833004,1.16171,1.16638,0.0
2027,40.611455422644866,1.15447,1.16556,0.0
2028,40.63149067445673,1.14789,1.16439,0.0
2029,40.65152592626859,1.142,1.16381,0.0
2030,40.67156117808045,1.13641,1.16377,0.0
2031,40.691596429892314,1.13083,1.16318,0.0
2032,40.711631681704176,1.12477,1.1621,0.0
2033,40.73166693351604,1.11803,1.16162,0.0
2034,40.75170218532791,1.11057,1.161,0.0
2035,40.77173743713977,1.10206,1.15985,0.0
2036,40.79177268895163,1.09293,1.15827,0.0
2037,40.811807940763494,1.08352,1.15701,0.0
2038,40.831843192575356,1.07403,1.15601,0.0
2039,40.85187844438722,1.06493,1.15428,0.0
2040,40.87191369619908,1.05632,1.15318,0.0
2041,40.89194894801094,1.04124,1.15146,0.0
2042,40.911984199822804,1.03449,1.15064,0.0
2043,40.932019451634666,1.03449,1.15064,0.0
2044,40.95205470344653,1.0213,1.14912,0.0
2045,40.97208995525839,1.0213,1.14912,0.0
2046,40.99212520707025,1.00604,1.14731,0.0
2047,41.012160458882114,0.99743,1.14612,0.0
2048,41.032195710693976,0.98811,1.14455,0.0
2049,41.05223096250584,0.97832,1.14314,0.0
2050,41.0722662143177,0.96844,1.14209,0.0
2051,41.09230146612956,0.95868,1.14043,0.0
2052,41.112336717941425,0.94925,1.13926,0.0
2053,41.13237196975329,0.94033,1.13848,0.0
2054,41.15240722156515,0.93197,1.13705,0.0
2055,41.17244247337701,0.92413,1.13634,0.0
2056,41.19247772518887,0.91671,1.1356,0.0
2057,41.212512977000735,0.90939,1.13422,0.0
2058,41.2325482288126,0.90182,1.13358,0.0
2059,41.25258348062446,0.89366,1.13271,0.0
2060,41.27261873243632,0.88468,1.13109,0.0
2061,41.29265398424818,0.87495,1.12993,0.0
2062,41.312689236060045,0.86478,1.12875,0.0
2063,41.332724487871914,0.84389,1.12516,0.0
2064,41.352759739683776,0.84389,1.12516,0.0
2065,41.37279499149564,0.82455,1.12262,0.0
2066,41.3928302433075,0.81563,1.12155,0.0
2067,41.41286549511936,0.80726,1.12071,0.0
2068,41.432900746931224,0.79915,1.11979,0.0
2069,41.45293599874309,0.79121,1.1194,0.0
2070,41.47297125055495,0.7832,1.11828,0.0
2071,41.49300650236681,0.77469,1.11708,0.0
2072,41.51304175417867,0.76566,1.11643,0.0
2073,41.533077005990535,0.75613,1.11501,0.0
2074,41.5531122578024,0.74602,1.1135,0.0
2075,41.57314750961426,0.73562,1.11234,0.0
2076,41.59318276142612,0.72515,1.11107,0.0
2077,41.61321801323798,0.71482,1.10957,0.0
2078,41.633253265049845,0.7049,1.10822,0.0
2079,41.65328851686171,0.69531,1.10737,0.0
2080,41.67332376867357,0.68626,1.10627,0.0
2081,41.69335902048543,0.67758,1.10505,0.0
2082,41.71339427229729,0.66908,1.10384,0.0
2083,41.733429524109155,0.65176,1.10167,0.0
2084,41.75346477592102,0.6425,1.1003,0.0
2085,41.77350002773288,0.63272,1.09964,0.0
2086,41.79353527954474,0.62246,1.09822,0.0
2087,41.8135705313566,0.61206,1.09704,0.0
2088,41.833605783168466,0.60151,1.09575,0.0
2089,41.85364103498033,0.59097,1.09423,0.0
2090,41.87367628679219,0.58069,1.09271,0.0
2091,41.89371153860405,0.57059,1.09132,0.0
2092,41.913746790415914,0.56094,1.09018,0.0
2093,41.93378204222778,0.55172,1.08872,0.0
2094,41.953817294039645,0.54267,1.08734,0.0
2095,41.97385254585151,0.53384,1.08619,0.0
2096,41.99388779766337,0.52506,1.08506,0.0
2097,42.01392304947523,0.51581,1.08346,0.0
2098,42.03395830128709,0.50636,1.0824,0.0
2099,42.053993553098955,0.49631,1.08106,0.0
2100,42.07402880491082,0.48594,1.07932,0.0
2101,42.09406405672268,0.47526,1.07807,0.0
2102,42.11409930853454,0.46472,1.07645,0.0
2103,42.1341345603464,0.4543,1.07474,0.0
2104,42.154169812158266,0.44402,1.07303,0.0
2105,42.17420506397013,0.43413,1.07166,0.0
2106,42.19424031578199,0.42461,1.07018,0.0
2107,42.21427556759385,0.40602,1.06748,0.0
2108,42.234310819405714,0.39689,1.06622,0.0
2109,42.254346071217576,0.38746,1.06463,0.0
2110,42.27438132302944,0.3778,1.06333,0.0
2111,42.2944165748413,0.36777,1.0619,0.0
2112,42.31445182665316,0.35745,1.06011,0.0
2113,42.334487078465024,0.34687,1.0585,0.0
2114,42.354522330276886,0.33614,1.05704,0.0
2115,42.37455758208875,0.32557,1.05547,0.0
2116,42.39459283390061,0.31496,1.05392,0.0
2117,42.41462808571247,0.30475,1.05229,0.0
2118,42.434663337524334,0.29473,1.05079,0.0
2119,42.454698589336196,0.28512,1.04903,0.0
2120,42.47473384114806,0.27557,1.04754,0.0
2121,42.49476909295992,0.26613,1.04592,0.0
2122,42.51480434477178,0.25657,1.04421,0.0
2123,42.53483959658365,0.24675,1.04286,0.0
2124,42.554874848395514,0.23662,1.041,0.0
2125,42.574910100207376,0.22617,1.0393,0.0
2126,42.59494535201924,0.21553,1.03773,0.0
2127,42.6149806038311,0.20479,1.03632,0.0
2128,42.63501585564296,0.19413,1.03448,0.0
2129,42.655051107454824,0.18359,1.03299,0.0
2130,42.675086359266686,0.17375,1.03163,0.0
2131,42.69512161107855,0.15713,1.02898,0.0
2132,42.71515686289041,0.1507,1.02805,0.0
2133,42.73519211470227,0.14483,1.02705,0.0
2134,42.755227366514134,0.13953,1.02592,0.0
2135,42.775262618325996,0.13449,1.02537,0.0
2136,42.79529787013786,0.12955,1.02441,0.0
2137,42.81533312194972,0.12414,1.0232,0.0
2138,42.83536837376158,0.11803,1.02228,0.0
2139,42.855403625573445,0.11163,1.02125,0.0
2140,42.87543887738531,0.10479,1.02024,0.0
2141,42.89547412919717,0.09799,1.01916,0.0
2142,42.91550938100903,0.09131,1.01804,0.0
2143,42.93554463282089,0.08538,1.01685,0.0
2144,42.955579884632755,0.08055,1.01599,0.0
2145,42.97561513644462,0.0769,1.01534,0.0
2146,42.99565038825648,0.0741,1.01494,0.0
2147,43.01568564006834,0.07203,1.01462,0.0
2148,43.0357208918802,0.07,1.01433,0.0
2149,43.055756143692065,0.06818,1.01406,0.0
2150,43.07579139550393,0.06653,1.01387,0.0
2151,43.09582664731579,0.06503,1.01371,0.0
2152,43.11586189912766,0.06353,1.01374,0.0
2153,43.13589715093952,0.06213,1.01365,0.0
2154,43.15593240275138,0.06074,1.01344,0.0
2155,43.175967654563244,0.05943,1.01327,0.0
2156,43.19600290637511,0.05812,1.01316,0.0
2157,43.21603815818697,0.05674,1.01306,0.0
2158,43.23607340999883,0.05526,1.01285,0.0
2159,43.25610866181069,0.0537,1.01267,0.0
2160,43.276143913622555,0.05208,1.01246,0.0
2161,43.29617916543442,0.0505,1.01222,0.0
2162,43.31621441724628,0.04905,1.01194,0.0
2163,43.33624966905814,0.04781,1.01171,0.0
2164,43.35628492087,0.04674,1.01143,0.0
2165,43.376320172681865,0.04502,1.01085,0.0
2166,43.39635542449373,0.0443,1.01064,0.0
2167,43.41639067630559,0.04368,1.01049,0.0
2168,43.43642592811745,0.04368,1.01049,0.0
2169,43.45646117992931,0.04283,1.01022,0.0
2170,43.476496431741175,0.04267,1.01021,0.0
2171,43.49653168355304,0.04265,1.01021,0.0
2172,43.5165669353649,0.04277,1.01027,0.0
2173,43.53660218717676,0.04305,1.01041,0.0
2174,43.55663743898862,0.0434,1.01062,0.0
2175,43.576672690800486,0.04394,1.01074,0.0
2176,43.59670794261235,0.04448,1.01082,0.0
2177,43.61674319442421,0.04508,1.01091,0.0
2178,43.63677844623607,0.04568,1.01101,0.0
2179,43.656813698047934,0.04634,1.01108,0.0
2180,43.676848949859796,0.04704,1.01115,0.0
2181,43.69688420167166,0.0477,1.011,0.0
2182,43.71691945348353,0.04837,1.0109,0.0
2183,43.73695470529539,0.04906,1.01089,0.0
2184,43.75698995710725,0.04986,1.0109,0.0
2185,43.77702520891911,0.05074,1.01093,0.0
